id,task,response,prob_ind,correct
0,1,1,1,1
0,13,0,0,1
0,14,0,0,1
0,9,0,0,1
0,12,1,1,1
0,18,1,1,1
1,13,0,0,1
1,4,1,1,1
1,18,0,0,1
1,8,0,0,1
1,7,2,0,0
1,6,0,0,1
2,4,1,1,1
2,15,1,1,1
2,11,0,0,1
2,10,1,1,1
2,7,1,1,1
2,6,0,0,1
3,6,1,1,1
3,5,0,0,1
3,17,0,0,1
3,18,1,1,1
3,7,1,1,1
3,1,0,0,1
4,18,0,1,0
4,15,0,1,0
4,6,1,0,0
4,12,2,1,0
4,16,1,0,0
4,11,0,0,1
5,1,1,1,1
5,18,0,0,1
5,9,0,0,1
5,8,1,1,1
5,3,0,0,1
5,6,0,0,1
6,2,0,0,1
6,14,0,0,1
6,10,2,1,0
6,6,0,0,1
6,4,0,0,1
6,16,1,1,1
7,10,0,1,0
7,12,0,0,1
7,3,2,1,0
7,13,1,0,0
7,1,0,0,1
7,5,1,1,1
8,13,0,0,1
8,15,1,0,0
8,9,0,0,1
8,6,0,0,1
8,4,0,0,1
8,1,1,1,1
9,16,1,1,1
9,7,0,0,1
9,9,1,1,1
9,4,1,1,1
9,18,2,0,0
9,11,0,0,1
10,3,1,0,0
10,6,2,1,0
10,7,1,0,0
10,14,0,0,1
10,5,2,1,0
10,1,2,0,0
11,6,1,0,0
11,1,2,0,0
11,8,0,0,1
11,3,1,1,1
11,4,1,1,1
11,11,0,0,1
12,4,0,0,1
12,15,1,0,0
12,16,0,0,1
12,8,1,1,1
12,10,1,1,1
12,3,1,1,1
13,13,0,0,1
13,9,2,1,0
13,6,2,1,0
13,16,1,1,1
13,15,2,0,0
13,14,0,0,1
14,6,1,1,1
14,17,0,0,1
14,8,0,0,1
14,5,1,1,1
14,1,0,0,1
14,9,0,0,1
15,1,0,0,1
15,17,0,0,1
15,10,2,1,0
15,8,1,1,1
15,6,0,0,1
15,18,0,0,1
16,1,0,0,1
16,18,0,0,1
16,13,1,1,1
16,15,0,0,1
16,12,0,0,1
16,7,1,1,1
17,17,2,1,0
17,7,1,0,0
17,11,2,0,0
17,5,2,0,0
17,13,2,1,0
17,9,2,0,0
18,12,1,1,1
18,11,0,0,1
18,10,1,1,1
18,3,1,1,1
18,18,0,0,1
18,17,1,1,1
19,17,1,1,1
19,2,0,0,1
19,10,0,0,1
19,13,1,1,1
19,16,0,0,1
19,9,0,0,1
20,16,1,1,1
20,14,0,0,1
20,12,1,1,1
20,10,0,0,1
20,18,0,0,1
20,13,0,0,1
21,18,1,1,1
21,9,0,0,1
21,5,2,1,0
21,1,1,1,1
21,13,2,1,0
21,17,1,1,1
22,18,0,0,1
22,8,1,1,1
22,12,1,1,1
22,4,1,1,1
22,14,1,1,1
22,15,1,1,1
23,4,0,0,1
23,9,2,0,0
23,3,1,1,1
23,15,1,0,0
23,13,2,1,0
23,6,1,1,1
24,18,2,0,0
24,8,0,0,1
24,9,1,1,1
24,2,2,0,0
24,3,0,0,1
24,6,1,1,1
25,16,0,0,1
25,3,1,1,1
25,5,0,0,1
25,12,0,0,1
25,15,2,0,0
25,10,2,0,0
26,15,0,0,1
26,3,0,0,1
26,16,0,0,1
26,14,0,0,1
26,11,0,0,1
26,6,1,1,1
27,16,1,1,1
