subj_id,model,promptstyle,symb_num,prob_type,prob_ind,correct_answer,response,correct,total
1,human,human,num,XOR_permuted,2.0,[1 7],7414,0,1.0
1,human,human,num,c3_set_union_permuted,71.0,[8 9 0 3],8039,1,1.0
1,human,human,num,c2_set_union,32.0,[2],2,1,1.0
1,human,human,num,attn,6.0,[0 0 0],000,1,1.0
1,human,human,num,two_rule_comb3,0.0,[9 1],34,0,1.0
1,human,human,num,attn,45.0,[0 0 0],000,1,1.0
1,human,human,num,three_rule_comb3,34.0,[9 4 8],712,0,1.0
1,human,human,num,two_rule_comb1,59.0,[4 5],43,0,1.0
1,human,human,num,row_constant,86.0,[4],4,1,1.0
1,human,human,num,three_rule_comb6,12.0,[7 1 1],244,0,1.0
1,human,human,num,XOR,29.0,[1 5],18,0,1.0
1,human,human,num,AND,58.0,[2],24,0,1.0
2,human,human,num,col_constant,9.0,[4],4,1,1.0
2,human,human,num,three_rule_comb1,62.0,[4 0 4],404,1,1.0
2,human,human,num,attn,95.0,[0 0 0],000,1,1.0
2,human,human,num,two_rule_comb3,44.0,[0 8],08,1,1.0
2,human,human,num,row_constant,0.0,[3],3,1,1.0
2,human,human,num,two_rule_comb0,26.0,[6 8],68,1,1.0
2,human,human,num,c2_set_union,57.0,[3],3,1,1.0
2,human,human,num,XOR,70.0,[6 4],4 6,1,1.0
2,human,human,num,attn,44.0,[0 0 0],000,1,1.0
2,human,human,num,three_rule_comb3,89.0,[1 4 9],1 4 9,1,1.0
2,human,human,num,three_rule_comb6,14.0,[4 2 9],4 2 9,1,1.0
2,human,human,num,c1_set_union_permuted,85.0,[8],8,1,1.0
3,human,human,num,c1_set_union_permuted,87.0,[3],3,1,1.0
3,human,human,num,two_rule_comb0,4.0,[9 2],92,1,1.0
3,human,human,num,attn,5.0,[0 0 0],000,1,1.0
3,human,human,num,c2_set_union,91.0,[9],9,1,1.0
3,human,human,num,XOR,57.0,[6 0],56,0,1.0
3,human,human,num,AND,83.0,[4],4,1,1.0
3,human,human,num,two_rule_comb3,68.0,[8 2],84,0,1.0
3,human,human,num,row_constant,28.0,[6],6,1,1.0
3,human,human,num,dist3_diag2,99.0,[0],0,1,1.0
3,human,human,num,attn,4.0,[0 0 0],000,1,1.0
3,human,human,num,XOR_permuted,23.0,[0 9],01,0,1.0
3,human,human,num,c3_set_union_permuted,7.0,[2 8 4 1],8421,1,1.0
4,human,human,num,row_constant,38.0,[0],0,1,1.0
4,human,human,num,two_rule_comb3,5.0,[8 2],82,1,1.0
4,human,human,num,three_rule_comb3,94.0,[6 0 5],65,0,1.0
4,human,human,num,c3_set_union,62.0,[9 0 5 3],90,0,1.0
4,human,human,num,c3_set_union_permuted,60.0,[9 4 2 1],19,0,1.0
4,human,human,num,AND,50.0,[5],85,0,1.0
4,human,human,num,three_rule_comb0,83.0,[6 9 7],697,1,1.0
4,human,human,num,XOR_permuted,46.0,[2 0],80,0,1.0
4,human,human,num,attn,61.0,[0 0 0],000,1,1.0
4,human,human,num,attn,21.0,[0 0 0],000,1,1.0
4,human,human,num,two_rule_comb0,31.0,[4 5],45,1,1.0
4,human,human,num,c2_set_union,33.0,[1],12,0,1.0
5,human,human,num,c3_set_union_permuted,76.0,[1 7 4 2],1427,1,1.0
5,human,human,num,col_constant,62.0,[5],5,1,1.0
5,human,human,num,attn,6.0,[0 0 0],000,1,1.0
5,human,human,num,two_rule_comb3,85.0,[6 9],79,0,1.0
5,human,human,num,XOR,75.0,[2 0],62,0,1.0
5,human,human,num,two_rule_comb0,42.0,[1 7],17,1,1.0
5,human,human,num,c1_set_union,52.0,[3],3,1,1.0
5,human,human,num,XOR_permuted,92.0,[8 4],68,0,1.0
5,human,human,num,c3_set_union,63.0,[6 7 5 3],6753,1,1.0
5,human,human,num,attn,6.0,[0 0 0],000,1,1.0
5,human,human,num,two_rule_comb1,57.0,[6 6],66,1,1.0
5,human,human,num,three_rule_comb3,52.0,[4 4 6],446,1,1.0
6,human,human,num,three_rule_comb6,31.0,[5 1 8],518,1,1.0
6,human,human,num,two_rule_comb0,56.0,[7 1],71,1,1.0
6,human,human,num,two_rule_comb3,74.0,[3 3],33,1,1.0
6,human,human,num,three_rule_comb0,53.0,[8 3 7],837,1,1.0
6,human,human,num,three_rule_comb3,94.0,[6 0 5],677,0,1.0
6,human,human,num,c3_set_union_permuted,92.0,[7 6 4 3],4376,1,1.0
6,human,human,num,attn,25.0,[0 0 0],000,1,1.0
6,human,human,num,XOR_permuted,96.0,[5 9],7759,0,1.0
6,human,human,num,attn,4.0,[0 0 0],000,1,1.0
6,human,human,num,c2_set_union_permuted,24.0,[3],3,1,1.0
6,human,human,num,AND,21.0,[0],0,1,1.0
6,human,human,num,col_constant,56.0,[6],6,1,1.0
7,human,human,num,col_constant,10.0,[5],5,1,1.0
7,human,human,num,two_rule_comb1,35.0,[4 1],41,1,1.0
7,human,human,num,dist3_diag1,81.0,[8],8,1,1.0
7,human,human,num,attn,50.0,[0 0 0],000,1,1.0
7,human,human,num,c2_set_union_permuted,31.0,[0],0,1,1.0
7,human,human,num,attn,66.0,[0 0 0],000,1,1.0
7,human,human,num,two_rule_comb3,18.0,[7 0],70,1,1.0
7,human,human,num,XOR,76.0,[0 1],20,0,1.0
7,human,human,num,XOR_permuted,9.0,[8 3],83,1,1.0
7,human,human,num,c2_set_union,43.0,[6],6,1,1.0
7,human,human,num,c1_set_union_permuted,40.0,[8],8,1,1.0
7,human,human,num,c3_set_union,95.0,[4 9 5 0],4950,1,1.0
8,human,human,num,three_rule_comb3,48.0,[7 7 8],778,1,1.0
8,human,human,num,three_rule_comb1,1.0,[8 9 9],899,1,1.0
8,human,human,num,dist3_diag2,47.0,[5],5,1,1.0
8,human,human,num,two_rule_comb3,79.0,[4 2],42,1,1.0
8,human,human,num,attn,79.0,[0 0 0],000,1,1.0
8,human,human,num,XOR_permuted,55.0,[5 9],59,1,1.0
8,human,human,num,two_rule_comb1,71.0,[4 8],48,1,1.0
8,human,human,num,three_rule_comb6,30.0,[8 9 3],893,1,1.0
8,human,human,num,attn,65.0,[0 0 0],000,1,1.0
8,human,human,num,three_rule_comb0,51.0,[2 1 7],27,0,1.0
8,human,human,num,AND,80.0,[3],33,0,1.0
8,human,human,num,c1_set_union_permuted,88.0,[0],0,1,1.0
9,human,human,num,c2_set_union_permuted,32.0,[8],5,0,1.0
9,human,human,num,three_rule_comb0,71.0,[7 8 6],786,1,1.0
9,human,human,num,c1_set_union_permuted,73.0,[0],0,1,1.0
9,human,human,num,attn,59.0,[0 0 0],000,1,1.0
9,human,human,num,c1_set_union,73.0,[2],2,1,1.0
9,human,human,num,dist3_diag2,17.0,[5],5,1,1.0
9,human,human,num,three_rule_comb6,60.0,[8 1 3],813,1,1.0
9,human,human,num,dist3_diag1,60.0,[8],8,1,1.0
9,human,human,num,two_rule_comb1,31.0,[6 2],62,1,1.0
9,human,human,num,XOR,60.0,[5 0],46,0,1.0
9,human,human,num,attn,68.0,[0 0 0],000,1,1.0
9,human,human,num,XOR_permuted,91.0,[4 0],11,0,1.0
10,human,human,num,attn,68.0,[0 0 0],000,1,1.0
10,human,human,num,row_constant,37.0,[3],3,1,1.0
10,human,human,num,three_rule_comb3,34.0,[9 4 8],923,0,1.0
10,human,human,num,XOR,47.0,[0 8],71,0,1.0
10,human,human,num,XOR_permuted,96.0,[5 9],22,0,1.0
10,human,human,num,c3_set_union,86.0,[2 3 0 8],2308,1,1.0
10,human,human,num,three_rule_comb0,92.0,[5 4 1],541,1,1.0
10,human,human,num,dist3_diag2,42.0,[2],2,1,1.0
10,human,human,num,c2_set_union,93.0,[8],8,1,1.0
10,human,human,num,three_rule_comb1,72.0,[3 2 5],245,0,1.0
10,human,human,num,dist3_diag1,84.0,[8],8,1,1.0
10,human,human,num,attn,13.0,[0 0 0],000,1,1.0
11,human,human,num,c2_set_union,65.0,[8],8,1,1.0
11,human,human,num,dist3_diag2,31.0,[2],2,1,1.0
11,human,human,num,three_rule_comb6,69.0,[6 9 2],692,1,1.0
11,human,human,num,three_rule_comb3,42.0,[9 1 6],916,1,1.0
11,human,human,num,attn,1.0,[0 0 0],000,1,1.0
11,human,human,num,two_rule_comb3,33.0,[9 0],90,1,1.0
11,human,human,num,c3_set_union_permuted,75.0,[5 9 4 7],97,0,1.0
11,human,human,num,attn,85.0,[0 0 0],000,1,1.0
11,human,human,num,XOR,5.0,[9 7],74,0,1.0
11,human,human,num,dist3_diag1,71.0,[7],7,1,1.0
11,human,human,num,two_rule_comb0,84.0,[3 1],31,1,1.0
11,human,human,num,c3_set_union,85.0,[3 9 4 8],3948,1,1.0
12,human,human,num,attn,94.0,[0 0 0],000,1,1.0
12,human,human,num,three_rule_comb1,52.0,[9 7 5],975,1,1.0
12,human,human,num,AND,61.0,[5],5,1,1.0
12,human,human,num,three_rule_comb0,68.0,[7 5 4],754,1,1.0
12,human,human,num,c1_set_union,56.0,[2],7,0,1.0
12,human,human,num,attn,2.0,[0 0 0],000,1,1.0
