model,promptstyle,nperms,alph,prob_type,prob_ind,source_1,source_2,target_1,correct_answer,given_answer,correct,total,reason,Broad
human,human,np_20,alph_0,add_letter,9,"['u', 'n', 'o', 'y']","['u', 'n', 'o', 'y', 'q']","['t', 'w', 'm', 'c']","['t', 'w', 'm', 'c', 'i']",['i'],FALSE,1,misunderstanding,completely wrong
human,human,np_2,alph_2,add_letter,4,"['u', 'v', 's', 'x']","['u', 'v', 's', 'x', 'y']","['n', 'o', 'p', 'q']","['n', 'o', 'p', 'q', 'r']","['n', 'o', 'p', 'g', 'r']",FALSE,1,typo,wrong
human,human,np_20,alph_3,add_letter,1,"['g', 'e', 'p', 'w']","['g', 'e', 'p', 'w', 'j']","['s', 'd', 'f', 'z']","['s', 'd', 'f', 'z', 'v']","['s', 'd', 'f', 'v']",FALSE,1,succ/add,incorrect rule
human,human,np_5,alph_1,add_letter,6,"['d', 'o', 'f', 'g']","['d', 'o', 'f', 'g', 'h']","['p', 'q', 'x', 's']","['p', 'q', 'x', 's', 't']","['p', 'q', 'x', 't']",FALSE,1,succ/add,incorrect rule
human,human,np_10,alph_6,add_letter,6,"['a', 'b', 's', 'd']","['a', 'b', 's', 'd', 'e']","['t', 'y', 'r', 'u']","['t', 'y', 'r', 'u', 'v']","['v', 'w', 'l', 'm', 'z']",FALSE,1,completely wrong,completely wrong
human,human,np_2,alph_2,add_letter,4,"['u', 'v', 's', 'x']","['u', 'v', 's', 'x', 'y']","['n', 'o', 'p', 'q']","['n', 'o', 'p', 'q', 'r']","['h', 'i', 'j', 'k', 'l']",FALSE,1,completely wrong,completely wrong
human,human,np_2,alph_1,add_letter,1,"['h', 'i', 'j', 'k']","['h', 'i', 'j', 'k', 'b']","['k', 'b', 'm', 'n']","['k', 'b', 'm', 'n', 'o']","['k', 'b', 'n', 'm', 'k']",FALSE,1,applied rule wrong,wrong
human,human,np_5,alph_0,add_letter,8,"['p', 'u', 'r', 's']","['p', 'u', 'r', 's', 't']","['q', 'p', 'u', 'r']","['q', 'p', 'u', 'r', 's']","['q', 'p', 'u', 'r']",FALSE,1,repeat targ_1,wrong
human,human,np_2,alph_3,add_letter,2,"['y', 'r', 's', 't']","['y', 'r', 's', 't', 'u']","['j', 'k', 'l', 'm']","['j', 'k', 'l', 'm', 'n']","['b', 'd', 'f', 'i', 'j']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_0,add_letter,9,"['p', 'y', 'r', 's']","['p', 'y', 'r', 's', 't']","['w', 'v', 'b', 'x']","['w', 'v', 'b', 'x', 'z']","['w', 'v', 'b']",FALSE,1,remove/add,incorrect rule
human,human,np_20,alph_5,add_letter,2,"['e', 'f', 'b', 'n']","['e', 'f', 'b', 'n', 'x']","['k', 'h', 'l', 'w']","['k', 'h', 'l', 'w', 'c']","['k', 'h', 'l']",FALSE,1,remove/add,incorrect rule
