id,task,response,prob_ind,correct
gemini,1,0,0,1
gemini,2,0,0,1
gemini,3,0,0,1
gemini,4,0,0,1
gemini,5,0,0,1
gemini,6,0,0,1
gemini,7,0,0,1
gemini,8,0,0,1
gemini,9,0,0,1
gemini,10,0,0,1
gemini,11,0,0,1
gemini,12,0,0,1
gemini,13,0,0,1
gemini,14,0,0,1
gemini,15,0,0,1
gemini,16,0,0,1
gemini,17,0,0,1
gemini,18,0,0,1
gemini,1,1,1,1
gemini,2,0,1,0
gemini,3,0,1,0
gemini,4,1,1,1
gemini,5,1,1,1
gemini,6,1,1,1
gemini,7,0,1,0
gemini,8,0,1,0
gemini,9,1,1,1
gemini,10,0,1,0
gemini,11,1,1,1
gemini,12,1,1,1
gemini,13,0,1,0
gemini,14,1,1,1
gemini,15,0,1,0
gemini,16,1,1,1
gemini,17,1,1,1
gemini,18,0,1,0
