id,task,response,prob_ind,correct
0,6,1,0,0
0,8,2,1,0
0,4,0,0,1
0,13,1,0,0
0,17,0,0,1
0,1,0,1,0
1,8,1,1,1
1,9,0,0,1
1,2,0,0,1
1,4,0,0,1
1,7,1,1,1
1,13,0,0,1
2,4,1,1,1
2,18,2,1,0
2,15,0,1,0
2,7,2,1,0
2,3,0,1,0
2,17,0,0,1
3,2,0,0,1
3,17,1,1,1
3,12,1,1,1
3,11,0,0,1
3,9,2,1,0
3,3,2,0,0
4,18,1,1,1
4,15,0,0,1
4,6,1,1,1
4,17,0,0,1
4,12,1,1,1
4,10,2,1,0
5,14,0,0,1
5,3,1,1,1
5,13,1,1,1
5,16,0,0,1
5,17,0,0,1
5,11,1,1,1
6,10,0,0,1
6,9,1,1,1
6,3,1,1,1
6,13,2,0,0
6,1,2,0,0
6,2,0,0,1
7,10,1,1,1
7,2,0,0,1
7,15,2,0,0
7,3,1,1,1
7,9,1,1,1
7,7,1,1,1
8,12,0,0,1
8,17,0,0,1
8,4,0,0,1
8,8,1,1,1
8,9,1,1,1
8,16,0,0,1
9,8,1,1,1
9,3,2,1,0
9,17,2,0,0
9,10,1,0,0
9,11,1,1,1
9,1,1,0,0
10,11,0,0,1
10,17,1,1,1
10,13,0,1,0
10,15,0,0,1
10,12,2,0,0
10,14,2,1,0
11,17,0,0,1
11,13,0,0,1
11,9,1,1,1
11,7,2,0,0
11,14,1,1,1
11,3,1,0,0
12,12,1,1,1
12,11,1,0,0
12,7,1,0,0
12,3,0,0,1
12,14,0,0,1
12,4,2,0,0
13,15,1,0,0
13,4,0,0,1
13,1,1,1,1
13,5,2,1,0
13,18,1,0,0
13,14,0,0,1
14,16,1,1,1
14,9,1,1,1
14,15,0,0,1
14,12,0,0,1
14,10,0,0,1
14,7,1,1,1
15,3,1,1,1
15,8,1,1,1
15,7,1,1,1
15,15,2,1,0
15,1,2,1,0
15,13,1,1,1
16,9,0,0,1
16,18,1,1,1
16,11,0,0,1
16,7,1,1,1
16,14,1,1,1
16,6,2,1,0
