subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
1,human,human,np_2,alph_1,larger_int,9.0,gjbn
1,human,human,np_2,alph_4,interleaved,5.0,axbxfxdxe
1,human,human,np_2,alph_5,2gen_split1,8.0,12 11 10 9 8
1,human,human,np_2,alph_3,attn,1.0,a a a a
1,human,human,np_2,alph_6,3gen_split5,6.0,8 8 9 9 10 10 11 11 12 12 13 13 14 14 16 16
1,human,human,np_2,alph_2,3gen_split6,1.0,r r q q p p o o n n m m l l j j
1,human,human,np_2,alph_0,2gen_split2,4.0,17 23 19 21 25
1,human,human,np_2,alph_1,group,4.0,d d e e f f g g h h
1,human,human,np_5,alph_6,longer_targ,1.0,n b c d e f g i
1,human,human,np_5,alph_5,3gen_split6,3.0,19 18 16 14
1,human,human,np_5,alph_3,2gen_split4,4.0,g d f h j l z p r
1,human,human,np_5,alph_4,group,2.0,p p s s t t u u v v
1,human,human,np_5,alph_2,reverse,6.0,u t s m
1,human,human,np_5,alph_1,2gen_split1,3.0,s x x x q x l x
1,human,human,np_5,alph_0,attn,2.0,a a a a
1,human,human,np_5,alph_6,3gen_split2,3.0,k x m x r x g x
2,human,human,np_1,alph_0,larger_int,0.0,qomj
2,human,human,np_1,alph_2,2gen_split4,1.0,nn
2,human,human,np_1,alph_6,3gen_split2,9.0,onml
2,human,human,np_1,alph_4,attn,5.0,aaaa
2,human,human,np_1,alph_5,letter2num,2.0,gjkl
2,human,human,np_1,alph_1,3gen_split4,7.0,12 12
2,human,human,np_1,alph_3,longer_targ,0.0,n o p q r s t  v
2,human,human,np_1,alph_0,2gen_split1,8.0,kmgqs
2,human,human,np_5,alph_5,3gen_split4,4.0,103050709
2,human,human,np_5,alph_1,group,6.0,kkrrmmll
2,human,human,np_5,alph_4,2gen_split3,3.0, j r l m n o e q p
2,human,human,np_5,alph_2,2gen_split4,2.0,uwy
2,human,human,np_5,alph_3,attn,7.0,aaaa
2,human,human,np_5,alph_6,3gen_split3,4.0,24681012141618
2,human,human,np_5,alph_0,longer_targ,6.0,acdefghi
2,human,human,np_5,alph_5,letter2num,0.0, j z l m n
3,human,human,np_10,alph_5,larger_int,2.0,nqsuo
3,human,human,np_10,alph_1,attn,3.0,aaaa
3,human,human,np_10,alph_6,2gen_split3,5.0,txyxrxuxvxwxlxmxz
3,human,human,np_10,alph_2,3gen_split5,2.0,hxfxdxjxlxnxpxyxt
3,human,human,np_10,alph_3,letter2num,8.0,24252627
3,human,human,np_10,alph_4,2gen_split1,4.0,1122334455
3,human,human,np_10,alph_0,longer_targ,0.0,rstwvvbxzja
3,human,human,np_10,alph_5,3gen_split1,1.0,cxbxgxkxmxnxqxsx
3,human,human,np_2,alph_3,2gen_split3,5.0,zxqxxwxvx
3,human,human,np_2,alph_6,3gen_split3,8.0,16017018019020021022023
3,human,human,np_2,alph_5,3gen_split1,4.0,qqxxrrxxssxxttxxuuxxvvxxwwxxyyxxzz
3,human,human,np_2,alph_0,2gen_split6,7.0,779988
3,human,human,np_2,alph_2,attn,1.0,aaaa
3,human,human,np_2,alph_4,larger_int,9.0,kmoqs
3,human,human,np_2,alph_1,group,9.0,zyxwvutsr
3,human,human,np_2,alph_3,interleaved,8.0,hgifj
4,human,human,np_5,alph_3,2gen_split1,4.0,n
4,human,human,np_5,alph_1,2gen_split3,3.0,16 15 14 20
4,human,human,np_5,alph_4,larger_int,3.0,lnept
4,human,human,np_5,alph_2,attn,9.0,a a a a
4,human,human,np_5,alph_5,letter2num,1.0,11 13 14 12 15
4,human,human,np_5,alph_6,longer_targ,2.0,a k p q o s t u v
4,human,human,np_5,alph_0,3gen_split3,7.0,24 0 0 21 0 20 0 23
4,human,human,np_5,alph_3,3gen_split5,8.0,1 1 0 0 2 2 0 0 3 3 0 0 4 4 0 0 1
4,human,human,np_20,alph_2,3gen_split6,4.0,4 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12]
4,human,human,np_20,alph_3,2gen_split2,0.0,e e x p x w x j x j x m x x x u x q x n x] 
4,human,human,np_20,alph_0,longer_targ,6.0,y l g f j d k h 
4,human,human,np_20,alph_6,interleaved,0.0,y x e x v x w p
4,human,human,np_20,alph_5,3gen_split3,4.0,7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 15
4,human,human,np_20,alph_1,attn,5.0,a a a a
4,human,human,np_20,alph_4,group,4.0,t t k k f f i u
4,human,human,np_20,alph_2,2gen_split5,2.0,19 19 16 16 17 17 18 18 15 18
5,human,human,np_10,alph_0,2gen_split3,8.0,ttvvxxjj
5,human,human,np_10,alph_6,group,6.0,nhpqt
5,human,human,np_10,alph_3,attn,1.0,aaaa
5,human,human,np_10,alph_5,2gen_split1,8.0,fgrij
5,human,human,np_10,alph_1,3gen_split1,1.0,gyitklonx
5,human,human,np_10,alph_4,reverse,9.0,olmp
5,human,human,np_10,alph_2,3gen_split4,4.0,wxtypnlr
5,human,human,np_10,alph_0,larger_int,4.0,prtb
5,human,human,np_20,alph_3,2gen_split4,3.0,log
5,human,human,np_20,alph_5,letter2num,6.0,khlwc
5,human,human,np_20,alph_4,attn,1.0,aaaa
5,human,human,np_20,alph_2,2gen_split3,8.0,pghq
5,human,human,np_20,alph_0,3gen_split5,9.0,wmcl
5,human,human,np_20,alph_6,interleaved,8.0,cmtb
5,human,human,np_20,alph_1,group,5.0,vpnc
5,human,human,np_20,alph_3,3gen_split3,8.0,bsdfx
6,human,human,np_2,alph_0,2gen_split1,3.0,12 5 4 3 2
6,human,human,np_2,alph_6,reverse,0.0,q p o e
6,human,human,np_2,alph_3,3gen_split2,4.0,18 17 16 15 14 13 12 10
6,human,human,np_2,alph_5,longer_targ,1.0,q r s t u v w y
6,human,human,np_2,alph_1,2gen_split5,5.0,1 0 4 0 3 0 5 0 4 0
6,human,human,np_2,alph_2,attn,7.0,u u t v t v s s x x
6,human,human,np_2,alph_4,letter2num,4.0,11 11 12 14 15
6,human,human,np_2,alph_0,3gen_split3,6.0,17 0 16 0 15 0 14 0 13
6,human,human,np_10,alph_6,larger_int,1.0,g i k n 
6,human,human,np_10,alph_5,2gen_split4,4.0,23 22 21 20 19
6,human,human,np_10,alph_1,attn,2.0,a a a a
6,human,human,np_10,alph_2,3gen_split3,3.0,b b x x v v x x h h x x e e x x f f x x g g x x d d x x r r x x
6,human,human,np_10,alph_3,interleaved,3.0,x v w x x x e x z
6,human,human,np_10,alph_4,reverse,6.0,i t i q
6,human,human,np_10,alph_0,2gen_split5,1.0,l k n i h g o e d
6,human,human,np_10,alph_6,3gen_split1,6.0,c x j x o x f x n
7,human,human,np_1,alph_6,2gen_split1,3.0,nnmmllkkjj
7,human,human,np_1,alph_2,3gen_split3,6.0,v t r p n l j h f
7,human,human,np_1,alph_3,reverse,5.0,n m l j
7,human,human,np_1,alph_0,2gen_split3,4.0,6 6 7 7 8 8 0 0
7,human,human,np_1,alph_5,3gen_split2,7.0,j x l x n x p x r x t x v x z x
7,human,human,np_1,alph_1,attn,3.0,aaaa
7,human,human,np_1,alph_4,longer_targ,6.0,h j k l m n o p
7,human,human,np_1,alph_6,larger_int,6.0,d f h n g
7,human,human,np_10,alph_1,3gen_split3,5.0,n p r l o y b q f
7,human,human,np_10,alph_2,longer_targ,0.0,q y s t u x a i
7,human,human,np_10,alph_4,2gen_split2,8.0,t z l p n j v  x r
7,human,human,np_10,alph_6,2gen_split1,3.0,8 0 7 0 10 0 9 0 11 0
7,human,human,np_10,alph_3,larger_int,0.0,s u e
7,human,human,np_10,alph_5,3gen_split2,5.0,g g x x f f x x b b x x cc x x
7,human,human,np_10,alph_0,group,4.0,r r s s t t  v v
7,human,human,np_10,alph_1,attn,5.0,a a a a
8,human,human,np_5,alph_5,attn,2.0,iizzllmm
8,human,human,np_5,alph_0,3gen_split2,3.0,13 12 11 10 9 8 7 5
8,human,human,np_5,alph_4,longer_targ,3.0,ghijrlmno
8,human,human,np_5,alph_1,interleaved,7.0,oxgxhxix
8,human,human,np_5,alph_6,2gen_split1,8.0,11 11 12 12 13 13 14 14 15 15 
8,human,human,np_5,alph_2,letter2num,4.0,9 2 11 12 13 
8,human,human,np_5,alph_3,2gen_split3,6.0,19 19 21 21 22 22 23 23 
8,human,human,np_5,alph_5,3gen_split3,0.0,u s q o m z k f
8,human,human,np_1,alph_6,3gen_split4,1.0,10 8 6 2 
8,human,human,np_1,alph_2,3gen_split3,5.0,12 12 13 13 14 14 15 15 16 16 25 25 18 18 19 19 20 20
8,human,human,np_1,alph_1,group,8.0,qq ss uu tt rr
8,human,human,np_1,alph_5,letter2num,6.0,13 14 15 17
8,human,human,np_1,alph_0,2gen_split4,3.0,s s x x t t x x u u x x u u x x v v x x w w 
8,human,human,np_1,alph_3,2gen_split6,9.0,o o x x p p x x q q x x r r x x s s x x]
8,human,human,np_1,alph_4,attn,3.0,a a a a
8,human,human,np_1,alph_6,reverse,7.0,i h g f e 
9,human,human,np_5,alph_2,3gen_split2,7.0,b d f o j j
9,human,human,np_5,alph_1,3gen_split5,0.0,mnlpqxst
9,human,human,np_5,alph_0,reverse,8.0,edcna
9,human,human,np_5,alph_3,larger_int,8.0,svxb
9,human,human,np_5,alph_5,2gen_split2,2.0,hjlnprtyx
9,human,human,np_5,alph_4,letter2num,7.0,khij
9,human,human,np_5,alph_6,attn,8.0,a a a a
9,human,human,np_5,alph_2,2gen_split4,8.0,q c e g i a m h k
9,human,human,np_10,alph_4,longer_targ,2.0,f a q i t k z l
9,human,human,np_10,alph_6,attn,9.0,a a a a
9,human,human,np_10,alph_5,3gen_split4,3.0,s q n m k i b d c
9,human,human,np_10,alph_1,3gen_split1,0.0,y x o x l x n x p x r x u x m x
9,human,human,np_10,alph_2,group,5.0,x x a a w w z z
9,human,human,np_10,alph_0,2gen_split4,6.0,t t w w v v b b x x x x x x x x x x x x 
9,human,human,np_10,alph_3,2gen_split2,2.0,q l o n j 
9,human,human,np_10,alph_4,interleaved,7.0,t x k x z x m x l 
10,human,human,np_2,alph_1,attn,1.0,aaaa
10,human,human,np_2,alph_2,larger_int,8.0,wuy
10,human,human,np_2,alph_3,3gen_split5,3.0,ttyyoomm
10,human,human,np_2,alph_6,reverse,8.0,elkji
10,human,human,np_2,alph_5,3gen_split2,7.0,bydylyhyjyfynypy
10,human,human,np_2,alph_0,letter2num,9.0,18 19 20 21 22
10,human,human,np_2,alph_4,2gen_split1,6.0,igea
10,human,human,np_2,alph_1,2gen_split3,7.0,feedcl
10,human,human,np_1,alph_1,larger_int,9.0,dfhjl
10,human,human,np_1,alph_5,2gen_split6,7.0,gikmoqsuw
10,human,human,np_1,alph_6,longer_targ,4.0,yzabcdefg
10,human,human,np_1,alph_0,3gen_split6,7.0,406080100120
10,human,human,np_1,alph_4,2gen_split3,4.0,u x t x s x r x q x
10,human,human,np_1,alph_2,interleaved,9.0,a x b x c x e x
10,human,human,np_1,alph_3,3gen_split3,1.0,bb dd ff hh jj ll nn pp
10,human,human,np_1,alph_1,attn,1.0,aaaa
11,human,human,np_1,alph_3,attn,0.0,a a a a
11,human,human,np_1,alph_2,3gen_split4,6.0,yy
11,human,human,np_1,alph_1,2gen_split2,0.0,o
11,human,human,np_1,alph_5,2gen_split4,2.0,yy
11,human,human,np_1,alph_6,longer_targ,6.0,qrs
11,human,human,np_1,alph_0,3gen_split5,0.0,16 17
11,human,human,np_1,alph_4,letter2num,9.0,25 26
11,human,human,np_1,alph_3,interleaved,9.0,k l m n o p
11,human,human,np_2,alph_5,longer_targ,1.0,y z
11,human,human,np_2,alph_3,interleaved,4.0,q z 
11,human,human,np_2,alph_6,2gen_split6,3.0,19 20
11,human,human,np_2,alph_1,group,6.0,tt uu
11,human,human,np_2,alph_0,attn,2.0,a a a a
11,human,human,np_2,alph_2,2gen_split4,3.0,z z
11,human,human,np_2,alph_4,3gen_split2,8.0,u u 
11,human,human,np_2,alph_5,3gen_split4,5.0,7 7 6 6 
12,human,human,np_5,alph_1,longer_targ,7.0,o f g h i j k r m
12,human,human,np_5,alph_6,3gen_split6,5.0,r m k q s u w
12,human,human,np_5,alph_4,reverse,0.0,f d c b a
12,human,human,np_5,alph_3,3gen_split4,8.0,l l z z z z p p r r t t
12,human,human,np_5,alph_5,attn,6.0,a a a a
12,human,human,np_5,alph_2,letter2num,7.0,k l a n h
12,human,human,np_5,alph_0,2gen_split5,0.0,w w v v o o k k t t 
12,human,human,np_5,alph_1,2gen_split6,3.0,l l x x p p x x q q x x x x x x x x x x s s x x t t 
12,human,human,np_2,alph_3,attn,9.0,a a a a 
12,human,human,np_2,alph_1,longer_targ,0.0,a l c d f e i h g
12,human,human,np_2,alph_5,group,5.0,f f m m n n o o p p 
12,human,human,np_2,alph_2,2gen_split5,5.0,w q u s y 
12,human,human,np_2,alph_6,reverse,5.0,e l k j i 
12,human,human,np_2,alph_0,3gen_split6,6.0,k k i i g g w w e e 
12,human,human,np_2,alph_4,2gen_split6,2.0,b b d d e e 
12,human,human,np_2,alph_3,3gen_split1,3.0,x w v u t s r y
13,human,human,np_10,alph_0,reverse,6.0,vwtr 
13,human,human,np_10,alph_5,2gen_split2,3.0,17 19 21 23 25
13,human,human,np_10,alph_4,2gen_split3,4.0,21 20 19 17
13,human,human,np_10,alph_3,longer_targ,9.0,b d k j n o l r
13,human,human,np_10,alph_1,attn,3.0,aaaa
13,human,human,np_10,alph_2,larger_int,1.0,Kmsqp 
13,human,human,np_10,alph_6,3gen_split6,4.0,Wxvxrxtx 
13,human,human,np_10,alph_0,3gen_split3,2.0,10 10 12 12 14 14 16 16 18 18
13,human,human,np_5,alph_2,longer_targ,8.0,cdfegoija 
13,human,human,np_5,alph_0,letter2num,8.0,14 15 16 17
13,human,human,np_5,alph_6,group,1.0,Nnbbccccdd
13,human,human,np_5,alph_3,2gen_split5,7.0,Ixhxfxxexq 
13,human,human,np_5,alph_5,3gen_split3,2.0,405060708090100110120
13,human,human,np_5,alph_1,attn,8.0,aaaa
13,human,human,np_5,alph_4,2gen_split6,5.0,Yxwvutspq 
13,human,human,np_5,alph_2,3gen_split1,9.0,Pchxnxnxaxlxkxjxixoxgx
14,human,human,np_2,alph_0,3gen_split6,5.0,10
14,human,human,np_2,alph_4,longer_targ,3.0,n
14,human,human,np_2,alph_6,interleaved,0.0,n
14,human,human,np_2,alph_2,attn,9.0,aaaa
14,human,human,np_2,alph_5,3gen_split4,9.0,7
14,human,human,np_2,alph_1,larger_int,8.0,j
