id,task,response,prob_ind,correct
claude,1,1,0,0
claude,2,1,0,0
claude,3,1,0,0
claude,4,1,0,0
claude,5,1,0,0
claude,6,0,0,1
claude,7,1,0,0
claude,8,1,0,0
claude,9,0,0,1
claude,10,1,0,0
claude,11,0,0,1
claude,12,1,0,0
claude,13,1,0,0
claude,14,1,0,0
claude,15,0,0,1
claude,16,0,0,1
claude,17,0,0,1
claude,18,1,0,0
claude,1,1,1,1
claude,2,1,1,1
claude,3,1,1,1
claude,4,1,1,1
claude,5,1,1,1
claude,6,1,1,1
claude,7,1,1,1
claude,8,1,1,1
claude,9,1,1,1
claude,10,1,1,1
claude,11,1,1,1
claude,12,1,1,1
claude,13,1,1,1
claude,14,1,1,1
claude,15,0,1,0
claude,16,1,1,1
claude,17,1,1,1
claude,18,1,1,1
